Month,30-Year Mortgage Rate,10-Year Treasury Rate,PPI Construction,S&P500,Unemployment Rate,Savings Rate,Wilshire 5000,GDP,Case-Shiller Index
2000-01-31,8.25,6.68,144.1,,4.0,5.4,42.81,10002.857,100.589697180637
2000-02-29,8.31,6.42,144.7,,4.1,4.8,43.77,10002.857,101.69247932776699
2000-03-31,8.23,6.03,145.4,,4.0,4.5,46.37,10002.857,102.783828396414
2000-04-30,8.13,6.23,145.6,,3.8,5.0,43.96,10247.679,103.996443634049
2000-05-31,8.62,6.29,144.9,,4.0,4.9,42.42,10247.679,105.252817709532
2000-06-30,8.22,6.03,145.0,,4.0,4.9,44.29,10247.679,106.402521723763
2000-07-31,8.13,6.04,144.4,,4.0,5.2,43.39,10319.825,107.134020529068
2000-08-31,7.99,5.73,143.7,,4.1,5.2,46.54,10319.825,107.861439151988
2000-09-30,7.88,5.8,143.4,,3.9,4.5,44.37,10319.825,108.610140522703
2000-10-31,7.68,5.77,143.3,,3.9,4.6,43.42,10439.025,109.486859058481
2000-11-30,7.73,5.48,142.7,,3.9,4.5,39.1,10439.025,110.571707615705
2000-12-31,7.13,5.12,142.5,,3.9,4.2,39.8,10439.025,111.80087266161699
2001-01-31,7.15,5.19,142.0,,4.2,4.8,41.33,10472.879,113.053498496861
2001-02-28,7.12,4.92,142.4,,4.2,4.9,37.41,10472.879,114.12685800297399
2001-03-31,6.91,4.93,142.4,,4.3,5.3,34.89,10472.879,115.08519516154199
2001-04-30,7.12,5.35,142.5,,4.4,5.0,37.76,10597.822,115.840549879737
2001-05-31,7.2,5.43,144.2,,4.3,4.4,38.14,10597.822,116.300741544877
2001-06-30,7.11,5.42,144.3,,4.5,4.4,37.5,10597.822,116.899747839532
2001-07-31,7.03,5.07,143.4,,4.6,5.6,36.88,10596.294,117.496602521091
2001-08-31,6.92,4.85,143.3,,4.9,6.8,34.65,10596.294,118.245230556635
2001-09-30,6.72,4.6,143.0,,5.0,7.0,31.53,10596.294,119.02795303509599
2001-10-31,6.64,4.3,142.3,,5.3,3.4,32.34,10660.294,119.694048839807
2001-11-30,7.02,4.78,142.1,,5.5,4.1,34.81,10660.294,120.27474395088801
2001-12-31,7.16,5.07,141.7,,5.7,4.5,35.43,10660.294,120.672264751484
2002-01-31,6.96,5.07,142.0,,5.7,6.1,34.99,10788.952,121.360321165462
2002-02-28,6.81,4.88,142.2,,5.7,5.8,34.27,10788.952,122.190820773177
2002-03-31,7.18,5.42,143.2,,5.7,5.9,35.77,10788.952,123.32147374483101
2002-04-30,6.88,5.11,143.5,,5.9,5.8,34.03,10893.207,124.507752653589
2002-05-31,6.76,5.08,143.8,,5.8,6.5,33.63,10893.207,125.924466288468
2002-06-30,6.55,4.86,144.3,,5.8,6.4,31.26,10893.207,127.388474782853
2002-07-31,6.34,4.51,144.7,,5.8,5.5,28.74,10992.051,128.879590338671
2002-08-31,6.22,4.14,145.1,,5.7,5.4,28.91,10992.051,130.30728351413998
2002-09-30,5.99,3.63,145.4,,5.7,5.7,26.01,10992.051,131.526919420743
2002-10-31,6.31,3.93,145.0,,5.7,5.7,28.0,11071.463,132.84662910344
2002-11-30,6.13,4.22,144.6,,5.9,5.7,29.69,11071.463,134.096961151506
2002-12-31,5.93,3.83,144.3,,6.0,5.5,28.04,11071.463,135.40525702863198
2003-01-31,5.9,4.0,144.4,,5.8,5.5,27.34,11183.507,136.466798507448
2003-02-28,5.79,3.71,145.2,,5.9,5.6,26.87,11183.507,137.45283296967
2003-03-31,5.91,3.83,145.2,,5.9,5.3,27.18,11183.507,138.378832632702
2003-04-30,5.79,3.89,145.9,,6.0,5.3,29.41,11312.875,139.25003568033702
2003-05-31,5.31,3.37,145.8,,6.1,5.8,31.2,11312.875,140.146999566313
2003-06-30,5.24,3.54,146.1,,6.3,5.5,31.66,11312.875,140.919719612448
2003-07-31,5.94,4.49,147.0,,6.2,6.2,32.43,11567.326,142.118879991637
2003-08-31,6.32,4.45,147.2,,6.1,6.0,33.2,11567.326,143.55184670216698
2003-09-30,5.98,3.96,149.0,,6.1,5.1,32.84,11567.326,145.261265179134
2003-10-31,5.94,4.33,149.6,,6.0,5.3,34.84,11769.275,146.99044591256
2003-11-30,5.89,4.34,150.2,,5.8,5.4,35.33,11769.275,148.822900389762
2003-12-31,5.85,4.27,149.7,,5.7,5.4,36.92,11769.275,150.758956403502
2004-01-31,5.68,4.16,150.0,,5.7,5.0,37.74,11920.169,152.62509329668302
2004-02-29,5.58,3.99,153.4,,5.6,5.0,38.29,11920.169,154.536551253501
2004-03-31,5.4,3.86,156.5,,5.8,4.9,37.88,11920.169,156.918266717991
2004-04-30,6.01,4.53,160.1,,5.6,5.3,37.07,12108.987,159.3596299092
2004-05-31,6.32,4.66,162.7,,5.6,5.2,37.58,12108.987,161.75117258651002
2004-06-30,6.25,4.62,162.0,,5.6,5.8,38.39,12108.987,164.305463968854
2004-07-31,6.08,4.5,162.2,,5.5,5.2,36.96,12303.34,166.387168045725
2004-08-31,5.82,4.13,165.9,,5.4,5.1,37.08,12303.34,168.07156885919701
