,inventory,period_begin,state_code,county_name
0,[-21.481398],2019-12-02,SC,Abbeville County
1,[1165.1948],2019-12-09,SC,Abbeville County
2,[1064.5371],2019-12-16,SC,Abbeville County
3,[1289.2435],2019-12-23,SC,Abbeville County
4,[1125.6069],2019-12-30,SC,Abbeville County
5,[1193.357],2020-01-06,SC,Abbeville County
6,[1126.2325],2020-01-13,SC,Abbeville County
7,[1144.9497],2020-01-20,SC,Abbeville County
8,[1111.3088],2020-01-27,SC,Abbeville County
9,[1111.0521],2020-02-03,SC,Abbeville County
10,[1090.3368],2020-02-10,SC,Abbeville County
11,[1082.989],2020-02-17,SC,Abbeville County
12,[1067.622],2020-02-24,SC,Abbeville County
13,[3154.1006],2019-12-02,ID,Ada County
14,[4507.829],2019-12-09,ID,Ada County
15,[3916.656],2019-12-16,ID,Ada County
16,[3791.252],2019-12-23,ID,Ada County
17,[3695.166],2019-12-30,ID,Ada County
18,[3695.4666],2020-01-06,ID,Ada County
19,[3704.586],2020-01-13,ID,Ada County
20,[3704.8345],2020-01-20,ID,Ada County
21,[3710.2817],2020-01-27,ID,Ada County
22,[3714.2957],2020-02-03,ID,Ada County
23,[3718.0623],2020-02-10,ID,Ada County
24,[3722.0444],2020-02-17,ID,Ada County
25,[3725.7805],2020-02-24,ID,Ada County
26,[199.20813],2019-12-02,IA,Adair County
27,[209.25726],2019-12-09,IA,Adair County
28,[242.764],2019-12-16,IA,Adair County
29,[242.89697],2019-12-23,IA,Adair County
30,[240.27747],2019-12-30,IA,Adair County
31,[237.43628],2020-01-06,IA,Adair County
32,[234.65625],2020-01-13,IA,Adair County
33,[231.98407],2020-01-20,IA,Adair County
34,[229.43674],2020-01-27,IA,Adair County
35,[227.0281],2020-02-03,IA,Adair County
36,[224.77258],2020-02-10,IA,Adair County
37,[222.68549],2020-02-17,IA,Adair County
38,[220.78326],2020-02-24,IA,Adair County
39,[75.62696],2019-12-02,OK,Adair County
40,[97.13883],2019-12-09,OK,Adair County
41,[119.88793],2019-12-16,OK,Adair County
42,[123.19636],2019-12-23,OK,Adair County
43,[125.44578],2019-12-30,OK,Adair County
44,[127.675545],2020-01-06,OK,Adair County
45,[130.02505],2020-01-13,OK,Adair County
46,[132.52637],2020-01-20,OK,Adair County
47,[135.19778],2020-01-27,OK,Adair County
48,[138.05792],2020-02-03,OK,Adair County
49,[141.12686],2020-02-10,OK,Adair County
50,[144.42651],2020-02-17,OK,Adair County
51,[147.9809],2020-02-24,OK,Adair County
52,[1593.2721],2019-12-02,CO,Adams County
53,[2156.0505],2019-12-09,CO,Adams County
54,[1416.7324],2019-12-16,CO,Adams County
55,[1479.882],2019-12-23,CO,Adams County
56,[1945.1266],2019-12-30,CO,Adams County
57,[2309.7808],2020-01-06,CO,Adams County
58,[3344.504],2020-01-13,CO,Adams County
59,[3728.6707],2020-01-20,CO,Adams County
60,[3922.8516],2020-01-27,CO,Adams County
61,[4056.0786],2020-02-03,CO,Adams County
62,[4135.2456],2020-02-10,CO,Adams County
63,[4176.6255],2020-02-17,CO,Adams County
64,[4196.9185],2020-02-24,CO,Adams County
65,[1092.4899],2019-12-02,ID,Adams County
66,[1434.2039],2019-12-09,ID,Adams County
67,[1533.7974],2019-12-16,ID,Adams County
68,[1951.4662],2019-12-23,ID,Adams County
69,[2089.1987],2019-12-30,ID,Adams County
70,[2394.1377],2020-01-06,ID,Adams County
71,[2409.8948],2020-01-13,ID,Adams County
72,[2439.1155],2020-01-20,ID,Adams County
73,[2464.2183],2020-01-27,ID,Adams County
74,[2489.1638],2020-02-03,ID,Adams County
75,[2512.91],2020-02-10,ID,Adams County
76,[2535.1567],2020-02-17,ID,Adams County
77,[2555.8494],2020-02-24,ID,Adams County
78,[75.62696],2019-12-02,OH,Adams County
79,[97.13883],2019-12-09,OH,Adams County
