,R_INTERNATIONAL_MIG_2019,Unemployment_rate_2020,PCT_COLL_4_2015_19,PCT_COLL_1TO3_2000,PCT_HSD_Only_2000,R_NET_MIG_2019,Med_HH_Income_Percent_of_State_Total_2019,GQ_ESTIMATES_2019,N_POP_CHG_2019,INTERNATIONAL_MIG_2019,NET_MIG_2019,HSD_Only_2000,DOMESTIC_MIG_2019,RESIDUAL_2019,Deaths_2019,COLL_4_2000,POP_ESTIMATE_2019,LT_HSD_2015_19,COLL_1TO3_2000,Unemployed_2020,NATURAL_INC_2019,GQ_ESTIMATES_BASE_2010,Employed_2020,LT_HSD_2000,COLL_4_2015_19,HSD_Only_2015_19,COLL_1TO3_2015_19,Civilian_labor_force_2020,CENSUS_2010_POP,PCT_LT_HSD_2000,R_birth_2019,PCT_COLL_1TO3_2015_19,PCT_COLL_4_2000,Economic_typology_2015,R_death_2019,county_name,state_code
183829,-0.1,4.9,19.7,22.8,42.9,0.8,107.5,277,17,-1,14,"5,033",15,-2.0,199,957,"17,894","1,341","2,678",457,5,277,"8,782","3,075","2,498","4,981","3,843","9,239","18,145",26.2,11.4,30.3,8.1,3.0,11.1,Ste. Genevieve County,MO
11304,0.0,7.1,11.4,12.5,37.0,-2.9,78.1,341,-128,0,-48,"4,105",-48,-1.0,243,917,"16,695","2,561","1,386",457,-79,341,"5,971","4,701","1,349","5,160","2,806","6,428","17,056",42.3,9.8,23.6,8.3,0.0,14.5,Rockcastle County,KY
26564,-0.2,4.8,41.8,24.7,31.5,5.6,104.1,"2,960",330,-9,329,"12,353",338,1.0,534,"12,614","58,409","2,636","9,660","1,596",0,"2,410","31,429","4,540","17,463","11,250","10,401","33,025","59,534",11.6,9.2,24.9,32.2,4.0,9.2,Washington County,VT
64573,0.2,4.7,15.4,27.5,40.2,0.4,70.7,137,1,1,2,"1,627",1,-1.0,70,460,"4,991",268,"1,114",119,0,137,"2,398",849,562,"1,640","1,176","2,517","5,269",21.0,14.0,32.3,11.4,1.0,14.0,Big Stone County,MN
274126,0.5,5.8,20.3,24.0,40.3,14.2,152.8,113,330,10,272,"3,095",262,0.0,147,848,"19,351","1,250","1,840",592,58,113,"9,662","1,889","2,636","4,713","4,389","10,254","17,061",24.6,10.7,33.8,11.1,1.0,7.7,Spencer County,KY
83817,0.4,9.1,22.7,28.2,36.5,0.3,80.1,"3,344",53,19,15,"8,521",-4,-1.0,357,"4,452","43,453","2,634","6,568","1,675",39,"3,375","16,740","3,773","6,101","9,702","8,489","18,415","42,798",16.2,9.1,31.5,19.1,4.0,8.2,Mecosta County,MI
285019,1.5,6.5,42.2,26.4,28.6,-0.8,103.5,"4,961",-434,237,-122,"30,873",-359,-8.0,"1,552","36,545","162,436","6,904","28,504","6,010",-304,"5,085","86,211","12,184","50,299","30,810","31,320","92,221","165,676",11.3,7.7,26.2,33.8,0.0,9.5,Middlesex County,CT
159578,0.3,7.1,13.3,25.4,37.3,-10.5,84.4,"4,315",-395,8,-336,"8,623",-344,0.0,379,"1,998","31,782","3,674","5,885",978,-59,"4,298","12,786","6,635","3,124","8,752","7,905","13,764","33,476",28.7,10.0,33.7,8.6,3.0,11.9,Randolph County,IL
177175,0.0,7.6,13.4,22.4,36.7,-1.0,68.2,172,-26,0,-14,"3,750",-14,-1.0,204,"1,006","14,672","1,808","2,291",423,-11,172,"5,167","3,163","1,357","3,889","3,091","5,590","15,205",31.0,13.1,30.5,9.9,0.0,13.9,Choctaw County,OK
199618,4.8,5.3,37.4,25.8,26.7,-7.5,79.0,"7,786",-388,396,-618,"9,946","-1,014",7.0,592,"12,733","81,784","3,444","9,617","1,996",223,"7,764","35,983","4,941","16,465","12,078","12,023","37,979","77,350",13.3,9.9,27.3,34.2,4.0,7.2,Payne County,OK
122027,0.9,7.1,31.6,29.9,30.0,-0.3,100.9,"11,068","2,227",602,-243,"128,169",-845,-29.0,"6,497","100,132","703,011","44,433","127,890","25,742","2,499","11,219","334,471","70,886","149,739","133,888","145,250","360,213","674,158",16.6,12.8,30.7,23.4,0.0,9.3,Jackson County,MO
148827,0.2,6.7,19.9,21.6,37.7,-2.6,84.5,513,-26,5,-79,"5,685",-84,-1.0,289,"1,821","30,725","3,042","3,255","1,009",54,513,"13,995","4,321","4,053","7,685","5,596","15,004","28,545",28.7,11.2,27.5,12.1,4.0,9.4,Caroline County,VA
223293,0.2,5.8,31.5,29.5,33.9,-0.5,122.3,"6,498",261,17,-41,"15,188",-58,1.0,639,"10,338","81,758","4,268","13,225","2,135",301,"6,561","34,611","6,041","17,187","15,417","17,698","36,746","76,227",13.5,11.5,32.4,23.1,4.0,7.8,Leavenworth County,KS
64343,0.1,10.3,22.1,20.8,45.7,-4.5,80.3,"2,093",-616,9,-387,"29,568",-396,-2.0,"1,090","9,778","85,512","5,757","13,488","4,152",-227,"2,271","36,080","11,933","13,731","26,992","15,792","40,232","91,108",18.4,10.1,25.4,15.1,0.0,12.7,Lawrence County,PA
282312,0.2,6.1,26.6,38.0,32.5,6.2,127.9,"2,204","1,281",20,602,"12,464",582,-5.0,533,"7,442","97,238","3,322","14,574","3,187",684,"2,174","49,247","3,869","16,382","17,580","24,348","52,434","88,499",10.1,12.6,39.5,19.4,0.0,5.5,Sherburne County,MN
205709,0.8,6.2,20.2,26.1,43.0,0.4,95.6,985,-34,67,31,"23,853",-36,-6.0,816,"8,579","78,981","4,540","14,458","2,508",-59,"1,100","37,911","8,562","11,526","21,961","18,905","40,419","81,442",15.4,9.6,33.2,15.5,3.0,10.3,Manitowoc County,WI
244924,-0.1,8.8,13.3,17.9,53.0,-5.0,97.1,405,-168,-2,-134,"10,322",-132,0.0,303,"1,775","26,914","2,072","3,489","1,136",-34,405,"11,747","3,874","2,608","9,767","5,204","12,883","28,836",19.9,10.0,26.5,9.1,0.0,11.2,Carroll County,OH
